scenario,date,scenario_value
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-16,91.73009068360292
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-17,91.03563198793606
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-18,91.21955506890846
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-19,90.04461770245797
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-22,88.73404084719508
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-23,88.50050727812739
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-24,88.66309505528632
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-25,89.6945613807479
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-26,87.83340738630947
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-29,87.23620649713591
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-30,86.6058959903088
2022 Drawdown (2022-01-03 to 2022-10-12),2022-08-31,86.05532727981206
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-01,85.7521725576235
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-02,85.35053556614116
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-06,84.8654594270469
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-07,86.05936222576926
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-08,86.28303146727184
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-09,87.1255636862491
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-12,87.6307023157425
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-13,85.27718585935042
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-14,85.30232974507241
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-15,84.48703749980903
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-16,84.10973599546021
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-19,84.46013109336009
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-20,83.65704027379279
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-21,83.09158395457644
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-22,82.07122269066711
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-23,81.28917534664456
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-26,80.35728531282997
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-27,79.98922564026218
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-28,81.47686683794791
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-29,80.22097556924544
2022 Drawdown (2022-01-03 to 2022-10-12),2022-09-30,79.6416464110576
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-03,81.21578914232651
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-04,82.7830046664985
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-05,82.37468740249628
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-06,81.74861854654266
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-07,80.0652803883304
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-10,79.37426718194143
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-11,79.11993849841875
2022 Drawdown (2022-01-03 to 2022-10-12),2022-10-12,79.05102708933065
Baseline,2025-07-09,199.00869894838303
Baseline,2025-07-10,199.39987583503657
Baseline,2025-07-11,198.59898893480025
Baseline,2025-07-14,199.03129592854503
Baseline,2025-07-15,197.92672518859447
Baseline,2025-07-16,198.7076264832907
Baseline,2025-07-17,199.6331992911014
Baseline,2025-07-18,199.6067721664387
Baseline,2025-07-21,200.14196537695747
Baseline,2025-07-22,200.74146573713278
Baseline,2025-07-23,201.16278978004533
Baseline,2025-07-24,200.8023472354891
Baseline,2025-07-25,201.22999163358534
Baseline,2025-07-28,200.88740792364757
Baseline,2025-07-29,201.47376861943852
Baseline,2025-07-30,200.77000615825597
Baseline,2025-07-31,200.04194884863838
Baseline,2025-08-01,198.6018699754045
