date,port_ret,port_value,drawdown,max_drawdown_to_date,vol_30,vol_60,vol_252,beta,var95_252,cvar95_252,var99_252,cvar99_252
2025-03-13,-0.0056315435134769,183.29958109049355,-0.06118567432079269,-0.21459550288898221,0.10537122252835061,0.1106943271934075,0.09637057978750051,0.6659860300371784,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-14,0.0133035322670659,185.73811298207065,-0.04869612764633535,-0.21459550288898221,0.11145417694373871,0.1143756153589802,0.09722387710005642,0.668186698341675,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-17,0.0069977584548066,187.03786343257076,-0.042039132930482226,-0.21459550288898221,0.11371490728614188,0.11515948818318385,0.09743385069676737,0.6688409975004982,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-18,-0.0047316604825525,186.15286376542585,-0.046571878509026665,-0.21459550288898221,0.11410524374875605,0.11524669039248776,0.09731205015661044,0.6666485026279398,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-19,0.0079880761811888,187.6398670225305,-0.03895582204126913,-0.21459550288898221,0.11566812341336746,0.10524360520550986,0.09751185390746929,0.6672256586205703,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-20,-0.0015318492132231,187.35243103986275,-0.04042799680914788,-0.21459550288898221,0.11230916091733713,0.10502342349255837,0.0975254531793614,0.667930195136458,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-21,-0.0026182318736016,186.8618989333174,-0.04294037881291801,-0.21459550288898221,0.11213678810848393,0.1034037776831049,0.09754021305703459,0.668201610816623,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-24,0.0092492506876842,188.5902314805284,-0.03408829445349859,-0.21459550288898221,0.11538071587883855,0.1048124677967896,0.09764680708871294,0.6647666518770354,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-25,-0.0004893310209478,188.4979484300172,-0.03456094501451923,-0.21459550288898221,0.11425433875751986,0.1037549289102426,0.09757948035254765,0.6642639061948886,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-26,-0.0067039336340482,187.23427069358817,-0.041033184366859876,-0.21459550288898221,0.11547305686934395,0.10453702281893523,0.09776026924084966,0.6632154241235713,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-27,-0.0020391548652132,186.85247101956867,-0.04298866621453634,-0.21459550288898221,0.1150465350445373,0.10306068120397138,0.09773960337759856,0.6631018568793475,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-28,-0.0084165284023214,185.27982189018851,-0.05104337928668534,-0.21459550288898221,0.11272116929673301,0.10402571908358633,0.0981312529483624,0.6580138707705506,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-03-31,0.0052043650006652,186.2440857105633,-0.04610466266269542,-0.21459550288898221,0.1143910573098391,0.1046024407798043,0.0977931435835302,0.6564916691632308,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-04-01,0.0025584452380579,186.7205810047659,-0.04366417367927922,-0.21459550288898221,0.11414912759910965,0.10472711193736843,0.09779336568172528,0.656645756005833,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-04-02,0.0047384699371816,187.60535086451011,-0.03913260511640859,-0.21459550288898221,0.11542534161716408,0.10430893228868528,0.09777288284385585,0.6564198043211705,0.010070706850543981,0.014407128386486202,0.016107718274571203,0.020179243777236032
2025-04-03,-0.0327364146159295,181.4638243144426,-0.07058795854624578,-0.21459550288898221,0.14708358661242713,0.12393234264063911,0.10306032217405121,0.6570847100468088,0.010225532083754214,0.016139643098589403,0.01800602771959946,0.025535796872838534
2025-04-04,-0.0346321732893043,175.17933770504493,-0.10277551742303837,-0.21459550288898221,0.17347846383792379,0.14157020982188345,0.10878881523139713,0.648316619891831,0.010530649029928158,0.018015966815453685,0.021884777527052778,0.030613199872846598
2025-04-07,-0.0090483270223466,173.59425776993157,-0.11089389795385052,-0.21459550288898221,0.17427321044637048,0.1424005023554789,0.10896661001239216,0.6494823099736728,0.010530649029928158,0.018015966815453685,0.021884777527052778,0.030613199872846598
2025-04-08,-0.0134080842867728,171.26669133005257,-0.12281510750996938,-0.21459550288898221,0.1765825977827917,0.14279902095863897,0.10968997213960048,0.652346842409213,0.011297674435027456,0.018209978718472027,0.021884777527052778,0.030613199872846598
2025-04-09,0.0620462581541965,181.8931486735321,-0.06838906722157179,-0.21459550288898221,0.259710925047332,0.19295703433830275,0.1259968069605513,0.6333901895937344,0.011297674435027456,0.018209978718472027,0.021884777527052778,0.030613199872846598
2025-04-10,-0.0255931120043035,177.23793694671497,-0.09223189016860378,-0.21459550288898221,0.26777136164973314,0.1996561797260134,0.128563805928925,0.6308512104051079,0.01200677242636328,0.01927091670446399,0.02502084085589477,0.0309872333031791
2025-04-11,0.0109968335919979,179.186993045507,-0.0822493153246655,-0.21459550288898221,0.26817526291380933,0.19862434018461592,0.12814517990364005,0.6284306346574247,0.011297674435027456,0.019042558585113337,0.02502084085589477,0.0309872333031791
2025-04-14,0.007527802464457,180.5358773333536,-0.07534066945880946,-0.21459550288898221,0.26877700100501306,0.19924378184766242,0.1282198007927213,0.6285262949582855,0.011297674435027456,0.019042558585113337,0.02502084085589477,0.0309872333031791
2025-04-15,0.0025208173286039,180.99097530137024,-0.07300977219532578,-0.21459550288898221,0.2681332390143967,0.19893367169323542,0.12794097942601484,0.6282347529647111,0.011297674435027456,0.019042558585113337,0.02502084085589477,0.0309872333031791
2025-04-16,-0.0078918401301261,179.56262345929622,-0.08032543087534949,-0.21459550288898221,0.2682922480110089,0.19852085799802263,0.12789308575646635,0.6244507247821864,0.011297674435027456,0.019042558585113337,0.02502084085589477,0.0309872333031791
2025-04-17,0.0006201600353687,179.67398102221165,-0.07975508546203336,-0.21459550288898221,0.2657877070500447,0.19849982454463241,0.12784251248082534,0.6243135147620653,0.011297674435027456,0.019042558585113337,0.02502084085589477,0.0309872333031791
2025-04-21,-0.0138160103511215,177.19160344058153,-0.092469198726857,-0.21459550288898221,0.26802436852624045,0.20014077139073558,0.12854648817976438,0.623661878255232,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-04-22,0.0152689050336276,179.897125206272,-0.0786121971071253,-0.21459550288898221,0.2690920542659349,0.20299710532450788,0.12939843411037147,0.6229115797481524,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-04-23,0.0091707228103454,181.54691187591672,-0.0701624049659616,-0.21459550288898221,0.2703992005515094,0.20367548811752254,0.1296740225763953,0.6234024045108786,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-04-24,0.0147443929183161,184.22371087772217,-0.05645251411455754,-0.21459550288898221,0.2737514035625076,0.20582385334857578,0.13043172283017035,0.6246996280936707,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-04-25,0.0029874890344206,184.7740771938496,-0.053633676347019876,-0.21459550288898221,0.2733167944408247,0.2058560073207716,0.1302958692151861,0.6246047987982883,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-04-28,0.0030313859665354,185.33419873843457,-0.050764874754296474,-0.21459550288898221,0.27071465517557425,0.20547660323136083,0.13031785209687863,0.6245880410552208,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-04-29,0.0044616322156609,186.1610917701897,-0.04652973673926308,-0.21459550288898221,0.27024979003921573,0.205653675724048,0.13031896312667474,0.6245050024351557,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-04-30,-0.0006819598630598,186.03413737753905,-0.04717996518942791,-0.21459550288898221,0.2698906470197723,0.20558002758837196,0.13020273499374105,0.6245080626627649,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-05-01,0.0016494612415162,186.3409934767422,-0.04560832547186777,-0.21459550288898221,0.2689077277372793,0.20529843347399507,0.13016966482307057,0.6239315559384883,0.01200677242636328,0.019197565674706683,0.02502084085589477,0.0309872333031791
2025-05-02,0.0084668068572686,187.91870667810133,-0.03752767549745295,-0.21459550288898221,0.27000249394897413,0.2052960026240097,0.12970907285275038,0.6222436609728083,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
2025-05-05,-0.0012646854665335,187.68104862087577,-0.038744900258191994,-0.21459550288898221,0.2699065117678324,0.20526718354689608,0.1297193738442649,0.622063053279652,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
2025-05-06,-0.0022547353997499,187.25787751668807,-0.04091227615977011,-0.21459550288898221,0.2686424606620353,0.20504267114915392,0.12958554029119687,0.6212110522136424,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
2025-05-07,0.002767137236358,187.77604576236587,-0.03825834880619794,-0.21459550288898221,0.26876715316726163,0.2048809566340257,0.12931487263141989,0.6208287147310982,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
2025-05-08,0.0019967997395126,188.15099692163088,-0.03633794332761564,-0.21459550288898221,0.26806078395624705,0.20492710651503393,0.1291250294978829,0.6201667559049888,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
2025-05-09,0.000826209179677,188.30644900245295,-0.03554175689028638,-0.21459550288898221,0.26797221290194195,0.2047573382827917,0.12911597422299748,0.6200821629517888,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
2025-05-12,0.0150797281512423,191.1460590625357,-0.020997988770967146,-0.21459550288898221,0.26990458628661146,0.20625603773845588,0.1299245592332351,0.6156571789334772,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
2025-05-13,0.0029410887444466,191.7082365853899,-0.01811865697495063,-0.21459550288898221,0.2696908148945857,0.20635612342270812,0.12980282049906788,0.615103668772749,0.011297674435027456,0.01910017690057563,0.02502084085589477,0.0309872333031791
